the_geom,objectid,station_id,lat,lon,borough,name,cartodb_id,created_at,updated_at
0101000020E6100000C715641FD37F52C0CC3D834B065F4440,86,334,40.74238787,-73.99726235,Manhattan,334,86,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E610000023031B6F9E7F52C0333885E2505D4440,87,335,40.72903917,-73.99404649,Manhattan,335,87,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000757C0296F07F52C0DC1EDB03805D4440,88,336,40.73047747,-73.99906065,Manhattan,336,88,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E610000041E08A62898052C00A0E5BD2155A4440,89,337,40.7037992,-74.00838676,Manhattan,337,89,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000E4F486AD597E52C0AFB2E7F1E65C4440,90,339,40.72580614,-73.97422494,Manhattan,339,90,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E610000041AB367D377F52C010684A2B395B4440,91,340,40.71269042,-73.98776323,Manhattan,340,91,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000D83E75807B7E52C09BD2504DE15B4440,92,341,40.71782143,-73.97628939,Manhattan,341,92,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E610000000AA3E02BB7E52C0D776D77BD35B4440,93,342,40.71739973,-73.98016555,Manhattan,342,93,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E610000049207A8ACF7F52C054A3692A455E4440,94,345,40.73649403,-73.99704374,Manhattan,345,94,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000005784CE3B658052C0032AD64E465E4440,95,346,40.73652889,-74.00618026,Manhattan,346,95,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E610000016B6A0AA7A8052C07CE4820B475D4440,96,347,40.72873888,-74.00748842,Manhattan,347,96,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000AF739952198052C04E154A93C95C4440,97,348,40.72490985,-74.00154702,Manhattan,348,97,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
